Batch number: 61, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 535081.000000, avg_PtsChecked 401676.519500, wrst_Dist 1.496740, avg_Dist 0.000468, wrst_RelativeDist 1.562985, avg_RelativeDist 1.000207, avg_rho 0.999400, tau 6584.926825, tau_other 0.003086, num_buckets 3347,ClusteringTime 0.021591,avg_SearchingTime 0.153190, wrst_SearchingTime 0.177004 
Batch number: 62, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 542144.000000, avg_PtsChecked 399288.489400, wrst_Dist 8.863004, avg_Dist 0.001103, wrst_RelativeDist 1.235733, avg_RelativeDist 1.000106, avg_rho 0.999300, tau 6440.201328, tau_other 0.003057, num_buckets 3369,ClusteringTime 0.021698,avg_SearchingTime 0.154247, wrst_SearchingTime 0.188062 
Batch number: 63, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 552898.000000, avg_PtsChecked 374100.843600, wrst_Dist 8.789159, avg_Dist 0.001168, wrst_RelativeDist 2.532567, avg_RelativeDist 1.000236, avg_rho 0.999600, tau 5938.168010, tau_other 0.003028, num_buckets 3391,ClusteringTime 0.023943,avg_SearchingTime 0.151822, wrst_SearchingTime 0.199325 
Batch number: 64, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 560382.000000, avg_PtsChecked 405671.553800, wrst_Dist 1.655900, avg_Dist 0.000587, wrst_RelativeDist 1.952099, avg_RelativeDist 1.000366, avg_rho 0.998800, tau 6338.681415, tau_other 0.003016, num_buckets 3431,ClusteringTime 0.031122,avg_SearchingTime 0.158435, wrst_SearchingTime 0.185693 
Batch number: 65, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 568471.000000, avg_PtsChecked 447709.025300, wrst_Dist 3.305375, avg_Dist 0.000894, wrst_RelativeDist 2.799090, avg_RelativeDist 1.000427, avg_rho 0.999000, tau 6887.900037, tau_other 0.003004, num_buckets 3471,ClusteringTime 0.038303,avg_SearchingTime 0.166607, wrst_SearchingTime 0.194822 
Batch number: 66, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 576672.000000, avg_PtsChecked 467014.741300, wrst_Dist 1.061972, avg_Dist 0.000491, wrst_RelativeDist 2.319675, avg_RelativeDist 1.000423, avg_rho 0.999000, tau 7076.051689, tau_other 0.002980, num_buckets 3497,ClusteringTime 0.033147,avg_SearchingTime 0.171151, wrst_SearchingTime 0.201308 
Batch number: 67, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 587622.000000, avg_PtsChecked 480101.783800, wrst_Dist 1.012203, avg_Dist 0.000374, wrst_RelativeDist 3.663396, avg_RelativeDist 1.000557, avg_rho 0.999300, tau 7165.769923, tau_other 0.002954, num_buckets 3518,ClusteringTime 0.029209,avg_SearchingTime 0.174411, wrst_SearchingTime 0.209046 
Batch number: 68, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 596556.000000, avg_PtsChecked 488461.485500, wrst_Dist 1.087974, avg_Dist 0.000118, wrst_RelativeDist 2.449540, avg_RelativeDist 1.000152, avg_rho 0.999800, tau 7183.328973, tau_other 0.002923, num_buckets 3534,ClusteringTime 0.026320,avg_SearchingTime 0.177879, wrst_SearchingTime 0.618161 
Batch number: 69, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 606181.000000, avg_PtsChecked 503325.108200, wrst_Dist 1.530659, avg_Dist 0.000387, wrst_RelativeDist 2.632187, avg_RelativeDist 1.000261, avg_rho 0.999400, tau 7294.639732, tau_other 0.002888, num_buckets 3542,ClusteringTime 0.024652,avg_SearchingTime 0.180761, wrst_SearchingTime 0.200968 
Batch number: 70, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 615077.000000, avg_PtsChecked 504880.703000, wrst_Dist 2.996943, avg_Dist 0.000300, wrst_RelativeDist 1.964742, avg_RelativeDist 1.000096, avg_rho 0.999900, tau 7212.653598, tau_other 0.002856, num_buckets 3554,ClusteringTime 0.023198,avg_SearchingTime 0.182203, wrst_SearchingTime 0.202240 
