Batch number: 56, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 57932.000000, avg_PtsChecked 40557.936900, wrst_Dist 0.814352, avg_Dist 0.000928, wrst_RelativeDist 1.255562, avg_RelativeDist 1.000292, avg_rho 0.996900, tau 724.256116, tau_other 0.000026, num_buckets 45,ClusteringTime 0.010000,avg_SearchingTime 0.107160, wrst_SearchingTime 0.160000 
Batch number: 57, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 58967.000000, avg_PtsChecked 41278.333000, wrst_Dist 0.848583, avg_Dist 0.000591, wrst_RelativeDist 1.329652, avg_RelativeDist 1.000202, avg_rho 0.997700, tau 724.188523, tau_other 0.000025, num_buckets 45,ClusteringTime 0.020000,avg_SearchingTime 0.109048, wrst_SearchingTime 0.140000 
Batch number: 58, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 60000.000000, avg_PtsChecked 42027.611500, wrst_Dist 0.813018, avg_Dist 0.000492, wrst_RelativeDist 1.301173, avg_RelativeDist 1.000165, avg_rho 0.997700, tau 724.621238, tau_other 0.000025, num_buckets 45,ClusteringTime 0.020000,avg_SearchingTime 0.111063, wrst_SearchingTime 0.160000 
Batch number: 59, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 61035.000000, avg_PtsChecked 42714.997400, wrst_Dist 1.278214, avg_Dist 0.000956, wrst_RelativeDist 1.931112, avg_RelativeDist 1.000381, avg_rho 0.997000, tau 723.990247, tau_other 0.000025, num_buckets 45,ClusteringTime 0.010000,avg_SearchingTime 0.113011, wrst_SearchingTime 0.140000 
Batch number: 60, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 62069.000000, avg_PtsChecked 43458.480400, wrst_Dist 0.517083, avg_Dist 0.000545, wrst_RelativeDist 1.197582, avg_RelativeDist 1.000180, avg_rho 0.997500, tau 724.315250, tau_other 0.000025, num_buckets 46,ClusteringTime 0.020000,avg_SearchingTime 0.114553, wrst_SearchingTime 0.140000 
Batch number: 61, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 63104.000000, avg_PtsChecked 44185.076900, wrst_Dist 0.785314, avg_Dist 0.000541, wrst_RelativeDist 1.258048, avg_RelativeDist 1.000180, avg_rho 0.997900, tau 724.352766, tau_other 0.000024, num_buckets 46,ClusteringTime 0.020000,avg_SearchingTime 0.113816, wrst_SearchingTime 0.160000 
Batch number: 62, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 64139.000000, avg_PtsChecked 44899.153200, wrst_Dist 0.612174, avg_Dist 0.000642, wrst_RelativeDist 1.203712, avg_RelativeDist 1.000202, avg_rho 0.997700, tau 724.187132, tau_other 0.000024, num_buckets 46,ClusteringTime 0.020000,avg_SearchingTime 0.115684, wrst_SearchingTime 0.140000 
Batch number: 63, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 65174.000000, avg_PtsChecked 45636.114300, wrst_Dist 0.925605, avg_Dist 0.000927, wrst_RelativeDist 1.273699, avg_RelativeDist 1.000294, avg_rho 0.996600, tau 724.390011, tau_other 0.000023, num_buckets 46,ClusteringTime 0.010000,avg_SearchingTime 0.113765, wrst_SearchingTime 0.150000 
Batch number: 64, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 66207.000000, avg_PtsChecked 46356.512300, wrst_Dist 0.513807, avg_Dist 0.000418, wrst_RelativeDist 1.160190, avg_RelativeDist 1.000128, avg_rho 0.998100, tau 724.327748, tau_other 0.000023, num_buckets 46,ClusteringTime 0.010000,avg_SearchingTime 0.118409, wrst_SearchingTime 0.160000 
Batch number: 65, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 67242.000000, avg_PtsChecked 47074.758400, wrst_Dist 0.622939, avg_Dist 0.000454, wrst_RelativeDist 1.273895, avg_RelativeDist 1.000151, avg_rho 0.997800, tau 724.234295, tau_other 0.000023, num_buckets 46,ClusteringTime 0.020000,avg_SearchingTime 0.122558, wrst_SearchingTime 0.160000 
